timestamp,gvl,variable,value,source
2026-03-20 10:03:58.387,gvl_C,bReferenceSwitch_C_vertical,True,poll
2026-03-20 10:03:58.387,gvl_C,bReferenceSwitch_C_horizontal,False,poll
2026-03-20 10:03:58.387,gvl_C,bReferenceSwitch_C_rotate,False,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_vertical1,False,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_vertical2,True,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_horizontal1,False,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_horizontal2,True,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_rotate1,True,poll
2026-03-20 10:03:58.387,gvl_C,bEncoderImpulse_C_rotate2,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_upward,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_downward,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_backward,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_forward,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_clockwise,False,poll
2026-03-20 10:03:58.387,gvl_C,bMotor_C_counterclockwise,False,poll
2026-03-20 10:03:58.411,gvl_C,bReferenceSwitch_C_vertical,True,event
2026-03-20 10:03:58.411,gvl_C,bReferenceSwitch_C_horizontal,False,event
2026-03-20 10:03:58.411,gvl_C,bReferenceSwitch_C_rotate,False,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_vertical1,False,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_vertical2,True,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_horizontal1,False,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_horizontal2,True,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_rotate1,True,event
2026-03-20 10:03:58.411,gvl_C,bEncoderImpulse_C_rotate2,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_upward,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_downward,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_backward,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_forward,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_clockwise,False,event
2026-03-20 10:03:58.411,gvl_C,bMotor_C_counterclockwise,False,event
2026-03-20 10:03:58.411,gvl_C,bCompressor_C,False,event
2026-03-20 10:03:58.411,gvl_C,bValve_C,False,event
2026-03-20 10:03:58.411,gvl_HBW,bReferenceSwitch_HBW_horizontal,True,event
